timestamp,rpm_port,rpm_stb,temp_port,temp_stb,power_port,power_stb,total_power,battery_count,current_mode,current_fuel_capacity,fx,fz
1729066035.5914955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.6916327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.791493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.8913412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.9916253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.0917046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.1917892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.2914636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.3915997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.4915571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.5917099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.6913793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.7917442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.891547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066036.9917595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.0913415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.1915343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.2913198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.3913786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.491348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.5915215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.6916668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.7917886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.8914337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066037.991633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.0912724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.1917043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.29156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.3916643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.4917195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.5916958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.6917152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.791676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.8916812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066038.9916794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.0916297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.1916735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.291138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.391137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.4913979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.5913756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.69143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.7913513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.8915446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066039.9914331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.0914216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.1909845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.291137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.3911567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.4908557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.5909364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.6913273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.791026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.891218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066040.990844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.0907168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.190704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.2907295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.390695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.4907272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.5915365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.691526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.7913942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.8916357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066041.991591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
